tx_id,tx_hash,sender_address,receiver_address,value,fee,size,vsize,weight,scriptPubKey_hex,high_value_tx,repeat_receiver_tx,high_out_degree,low_entropy_hash,duplicate_tx_flag,fraud_probability,sender_index,receiver_index,Low_Risk,Medium_Risk,High_Risk
2b5ab2cae4256987ef53a577c3af9b545d6ce5880f54ebbef16f2a7db4dfdd20,43a4614a1d78c525a2cc5bd5fc9fbfa32250a4513ca2277fa523e4778bd71387,tb1pfmcf83wgwtmyt94nf5dzuc859mve5rjfjkalcy9dqm03y4rdujhsv856n0,tb1pfmcf83wgwtmyt94nf5dzuc859mve5rjfjkalcy9dqm03y4rdujhsv856n0,0.13418526,1.69E-05,205,154,616,51204ef093c5c872f64596b34d1a2e60f42ed99a0e4995bbfc10ad06df12546de4af,0,0,0,0,0,0,1270,1270,1,0,0
0880a5960713e923c29746a33a014aa676d350bff4900bcef9484b6bf916fdce,eab167f87cb22951737b5ec7fd3a108c084c95e1412e0fd5c652710d71dfd3bb,tb1pklqy37kfearc8hfxqqwdj9z379rrncpvn0z8g5h5cdj77kyh7uyqzg4kvw,tb1pklqy37kfearc8hfxqqwdj9z379rrncpvn0z8g5h5cdj77kyh7uyqzg4kvw,0.19691235,1.69E-05,205,154,616,5120b7c048fac9cf4783dd26001cd91451f14639e02c9bc47452f4c365ef5897f708,0,0,0,0,0,0,1493,1493,1,0,0
c515f07c3c048412bf2b9de9b489ba3581a891ea00c75885ace5d6f8fdec8949,4c3a39265e95b967538e35872e2d99e4ca315c53cb78201a2380746c751ea296,tb1q7vvqessxrgshedhp3qgzau994xpqkzmfnypxfs,tb1q7vvqessxrgshedhp3qgzau994xpqkzmfnypxfs,8.40282923,1.68E-05,235,153,610,0014f3180cc2061a217cb6e188102ef0a5a9820b0b69,1,1,1,0,0,1,3309,3309,1,0,0
9aa594bc3d0b23a31a697c580b58b205b02d49ff6e440589baeb20134c1a3c62,5da799a7d6836b19310fafc958a853a5567fc7c227eb914eeaa545a6181eedb0,tb1q8lzedz9x5zwsqkx4vl0mqjrsa9jl4cae8skqq2,tb1q8lzedz9x5zwsqkx4vl0mqjrsa9jl4cae8skqq2,0.0041658,3.83E-05,235,153,610,00143fc59688a6a09d0058d567dfb04870e965fae3b9,0,0,1,0,0,0,3410,3410,1,0,0
18c3062ed6ba0ca7f239653677be6d7acc67f64b688411a5a94826a92a80f088,e6a4f11e3751c15faa646a07a93e91a6195525e89058831cdcf025047466bbff,tb1qqe52kgr929tysrdlmjcadmexq2jyxqmrnvfdcz,tb1qqe52kgr929tysrdlmjcadmexq2jyxqmrnvfdcz,0.02389818,6.12E-05,235,153,610,00140668ab20655156480dbfdcb1d6ef2602a4430363,0,1,1,0,0,1,5505,5505,1,0,0
f6e42412a6a6bfb04aeb7f3b565c3ea395f67d83aff111652edbe03399515ce0,85ce5296995cd5544626524523e96ee55ac6ebca62a1fb1e96e9d5ccbacb2569,tb1p6g8ahy2zptl7q2267wdxc7g59xlqka65g693058tysdljvy60cwq9xw0a5|2N2LnJJuKj4eVdcAC6XmboL4vxqrzKZU5uH,2N2LnJJuKj4eVdcAC6XmboL4vxqrzKZU5uH,0.00040869,3.10E-06,441,310,1239,a91463c62efcfe0b194abb77aa36c2429fa32f76ac8887,0,0,0,1,0,0,766,130,1,0,0
16343e8d3302da4f9eb7ca092019387441667e22f4881010efb765a42ae17832,fdc9a9f8105553baf0ad9475dfc3c66e24060567b7f96b254407ac642bd543ec,tb1qaneapva0gxas7cd8xy42y4fysmkm6l6ns9qyk2|tb1qvmukn62h8mx586rm35dsvtd9j4jktafn9hudjs,tb1qaneapva0gxas7cd8xy42y4fysmkm6l6ns9qyk2,0.00147767,1.70E-05,457,295,1177,0014ecf3d0b3af41bb0f61a7312aa2552486edbd7f53,0,1,1,0,0,1,3734,3733,1,0,0
526ddfdef7a7b80000cabb7f6c82b60b5851503163bbdb3bf89561dbc1603173,d1148df8c8e1cb3cf1414f137e118dba15e7c8289c861be8014542ee31790922,tb1p53axz4l5wy45klts69z04twajxhs6a6cc0k00rvaexad3h4wg7xsmp80dt,tb1p53axz4l5wy45klts69z04twajxhs6a6cc0k00rvaexad3h4wg7xsmp80dt,4.98180932,1.69E-05,205,154,616,5120a47a6157f4712b4b7d70d144faaddd91af0d7758c3ecf78d9dc9bad8deae478d,1,0,0,1,0,1,685,685,1,0,0
c184654f8d05f4e005f61a1f97d6f6306e9e1a6cd70d130dbc15f8e673727cb0,0fb5689da821673301af409b79509af5be22a06ea2d9a3a9ee9d86f66c99da57,tb1qw7ch703p880zlmqu4lqfvxr4g58aagz99vmjfm,tb1qw7ch703p880zlmqu4lqfvxr4g58aagz99vmjfm,0.01941812,6.12E-05,235,153,610,001477b17f3e2139de2fec1cafc0961875450fdea045,0,0,0,0,0,0,6245,6245,1,0,0
7ac494ed90daf76059df282a46ab926c4ceb566fd547ffa8aefbc762fbf64e71,0a34ae60c59e47eec1ff5d6496a116c40a9462705cf408f23a2a39ee53184ba2,tb1pmgyv5x9xk9cf2lpvah2mq8s7y9fqdv09ranjuec2es2fp572etws69hxy4,tb1q3nv2zmqjl98rv6reeqnng537uc439p0ht94a08,7.00E-05,2.48E-06,298,247,988,00148cd8a16c12f94e366879c82734523ee62b1285f7,0,0,0,0,0,0,1607,2731,1,0,0
